index,data_ocorrencia,modelo,registro,operador,local_acidente,numero_de_vitimas,ano,mes,mes_nome
0,2020-01-01 00:00:00,NEIVA P-56 PAULISTINHA,PP-ZCG,PRIVATE,"MONTE VERDE, MINAS GERAIS",0,2020,1,JANEIRO
1,31-DEC-2019,VAN'S RV-10,PT-ZAC,PRIVATE,"AEROPORTO DA SERRINHA, JUÍZ DE FORA, MG",0,2019,12,DEZEMBRO
2,23-DEC-2019,AERO BRAVO 700,PU-DAL,PRIVATE,"BONFINÓPOLIS, GOIÁS",0,2019,12,DEZEMBRO
3,21-DEC-2019,EMBRAER EMB-201A IPANEMA,PT-UAA,JAÍBA AVIAÇÃO AGRICOLA LTDA,"TUPACIGUARA, MINAS GERAIS",0,2019,12,DEZEMBRO
4,13-DEC-2019,ROBINSON R44 RAVEN II,PR-TOS,AEREO AGRÍCOLA FORNAGIERIE LTDA,"SÃO MANOEL DO PARANÁ, PARANÁ",0,2019,12,DEZEMBRO
5,02-DEC-2019,BEECHCRAFT C90GT KING AIR,PP-BSS,SETIMIO DE OLIVEIRA SALA,"SERRA DA CANTAREIRA, SP",1,2019,12,DEZEMBRO
6,2019-11-29 00:00:00,AIRBUS A319-132,PT-TMO,LATAM AIRLINES BRASIL,RÍO DE JANEIRO-SANTOS DUMONT,0,2019,11,NOVEMBRO
7,2019-11-28 00:00:00,AIRPLANE,,PRIVATE,"GUAÍRA, SP",0,2019,11,NOVEMBRO
8,2019-11-27 00:00:00,EMBRAER EMB-201A IPANEMA,PT-GRG,PRIVATE,"CLAUDIA, 90 KM FROM SINOP",1,2019,11,NOVEMBRO
9,2019-11-25 00:00:00,EMBRAER EMB-711T CORISCO,PT-NUY,PRIVATE,"NEAR PENÁPOLIS AIRPORT, SP (SDPN)",0,2019,11,NOVEMBRO
10,2019-11-17 00:00:00,VAN'S RV-10,PP-XRF,PRIVATE,"ELIAS FAUSTO, , SÃO PAULO",0,2019,11,NOVEMBRO
11,2019-11-17 00:00:00,BEECHCRAFT V35B BONANZA,PT-JQZ,PRIVATE,"ESPIGÃO AZUL, CASCAVEL, PR",4,2019,11,NOVEMBRO
12, 14-NOV-2019,CESSNA 550 CITATION II,PT-LTJ,PRIVATE,"MARAÚ-BARRA GRANDE AIRPORT, BA",5,2019,11,NOVEMBRO
13,31-OCT-2019,BEECHCRAFT A36 BONANZA,PP-CVJ,RODOVIO TRANSPORTES E LOGISTICA LTDA,"CAMPO DE MARTE AIRPORT (SBMT), SAO PAULO",0,2019,10,OUTUBRO
14,24-OCT-2019,"UNKNOWN AIRPLANE, LIGHT",,PRIVATE,"ASSIS BRASIL, ACRE",2,2019,10,OUTUBRO
15,21-OCT-2019,CIRRUS SR20 G2,PR-ETJ,HELICON TAXI AEREO LTDA.,"BELO HORIZONTE, MINAS GERAIS",4,2019,10,OUTUBRO
16,21-OCT-2019,DOUGLAS AF-1B FALCÃO (A-4KU SKYHAWK),N-1013,AVIAÇÃO NAVAL BRASILEIRA,"SÃO PEDRO DA ALDEIA AB (SBES), RJ",0,2019,10,OUTUBRO
17,17-OCT-2019,AIRBUS A320-251N,PR-YRQ,AZUL LINHAS AÉREAS BRASILEIRAS,"SÃO PAULO/CAMPINAS-VIRACOPOS INTERNATIONAL AIRPORT, SP (VCP/SBKP)",0,2019,10,OUTUBRO
18,16-OCT-2019,EMBRAER EMB-721D SERTANEJO,PT-RXE,PRIVATE,"AEROPORTO MUNICIPAL DE TANGARÁ DA SERRA , MATO GROSSO",0,2019,10,OUTUBRO
19,29-SEP-2019,BARROWS BEARHAWK,PR-ZJO,PRIVATE,"APUÍ, AMAZONAS",0,2019,9,SETEMBRO
20,16-SEP-2019,VAN'S RV-10,PP-ZOJ,JADE ENGENHARIA INDÚSTRIA E COMÉRCIO LTDA,"GUARANTÃ DO NORTE, MATO GROSSO",2,2019,9,SETEMBRO
21,16-SEP-2019,ATR 72-202,PR-MPY,MAP LINHAS AÉREAS,"ITAITUBA, PA",0,2019,9,SETEMBRO
22, 16-SEP-2019,CESSNA 208B GRAND CARAVAN,PT-MHC,TWOFLEX,"NEAR MANAUS-EDUARDO GOMES INTERNATIONAL AIRPORT, AM (MAO)",0,2019,9,SETEMBRO
23,13-SEP-2019,COZY MARK IV,PR-ZQA,PRIVATE,"RIO VERDE , GOIÁS",2,2019,9,SETEMBRO
24,13-SEP-2019,TECNAM P92 ECHO,PU-ITG,PRIVATE,"TRINDADE, GOIAS",0,2019,9,SETEMBRO
25,08-SEP-2019,FOX IIB,PU-AFA,PRIVATE,"IVINHEMA , MATO GROSSO DO SUL",3,2019,9,SETEMBRO
26,02-SEP-2019,CESSNA 182F SKYLANE,PT-CBM,UNKNOWN (ILLEGAL FLIGHT),"CAMPO DO TENENTE, PARANÁ",0,2019,9,SETEMBRO
27,01-SEP-2019,BOEING 737-8EH (WL),PR-GUB,GOL LINHAS AEREAS,"JUAZEIRO DO NORTE-REGIONAL DO CARIRI AIRPORT, CE (JDO/SBJU)",0,2019,9,SETEMBRO
28,24-AUG-2019,ROBINSON R44 II,PR-APN,,"LAGO DAS BRISAS, BURITI ALEGRE, GOIAS",3,2019,8,AGOSTO
29,20-AUG-2019,BELL 407,PT-YZF,POLÍCIA RODOVIÁRIA FEDERAL,"EUNÁPOLIS, BAHIA",0,2019,8,AGOSTO
30,17-AUG-2019,ULTRALIGHT,,,"PIRAQUARA,CURITIBA, PARANÁ",0,2019,8,AGOSTO
31,11-AUG-2019,EMBRAER EMB-710C CARIOCA,PT-NKK,PRIVATE,"MORAIS ALMEIDA DISTRICT, ITAITUBA, PARÁ",3,2019,8,AGOSTO
32,2019-07-25 00:00:00,BEECHCRAFT 58 BARON,PR-RAU,PARINTINS TAXI AEREO LTDA,"COMUNIDADE DO NOVO CÉU, AUTAZES,AUTAZES, AMAZONAS",0,2019,7,JULHO
33,2019-07-23 00:00:00,EMBRAER EMB-720D MINUANO,PT-VNH,PRIVATE,"CAMPO DE BOI AIRPORT (SNBV), IPIXUNA, AM",1,2019,7,JULHO
34,2019-07-21 00:00:00,MONTAER MC01,PU-ETD,LOOPING ESCOLA DE AVIAÇÃO LEVE LTDA,"ATIBAIA, SAO PAULO",0,2019,7,JULHO
35,2019-07-12 00:00:00,PIPER PA-28-140 CHEROKEE,PT-CON,PRIVATE,"ATIBAIA, SÃO PAULO",2,2019,7,JULHO
36,2019-07-09 00:00:00,CESSNA 182P SKYLANE,PT-KDU,PRIVATE,"ITAITUBA, PARÁ",1,2019,7,JULHO
37,2019-07-08 00:00:00,ROBINSON R44,,UNKOWN,"YANOMAMI RESERVOIR, RORAIMA",1,2019,7,JULHO
38,2019-07-07 00:00:00,NEIVA C-42 REGENTE ELO,PR-ZER,PRIVATE,"CAROEBE, SUL DE RORAIMA",0,2019,7,JULHO
39,2019-07-04 00:00:00,CESSNA 210M CENTURION II,PR-TRB,PRIVATE,BETWEEN MATO GROSSO AND MATO GROSSO DO SUL,1,2019,7,JULHO
40,2019-06-29 00:00:00,CESSNA 172K SKYHAWK,PT-DNE,AEROCLUBE DE CANELA,AEROPORTO MUNICIPAL DE CANELA (SSCN),0,2019,6,JUNHO
41,2019-06-22 00:00:00,TECNAM P92S ECHO,PU-DMR,PRIVATE,"IBIRÁ, SP",0,2019,6,JUNHO
42,2019-06-22 00:00:00,ULTRALIGHT,,PRIVATE,"VILA RICA, ITABORAÍ, RIO DE JANEIRO",1,2019,6,JUNHO
43,2019-06-15 00:00:00,ATR 42-320,PR-MPN,MAP LINHAS AÉREAS,"MANAUS-EDUARDO GOMES INTERNATIONAL AIRPORT, AM (MAO/SBEG)",0,2019,6,JUNHO
44,2019-06-09 00:00:00,SANTOS DUMONT 14-BIS F2 (REPLICA),PU-DFL,PRIVATE,"BAURU AIRPORT (BAU/SBBU), SÃO PAULO",0,2019,6,JUNHO
45,2019-06-08 00:00:00,VAN'S RV-10,,,"CASCAVEL, PARANÁ",0,2019,6,JUNHO
46,2019-06-08 00:00:00,PIPER PA-34-200T SENECA II,PR-PPL,PARINTINS TÁXI AÉREO,"RIO NEGRO, IRANDUBA, MANAUS",0,2019,6,JUNHO
47,27-MAY-2019,PIPER PA-28-180 CHEROKEE ARCHER,PT-KLO,AEROCLUBE DE ALAGOAS,"PORTO DO MATO, ESTÂNCIA, SERGIPE",3,2019,5,MAIO
48,22-MAY-2019,EMBRAER EMB-711B CORISCO,PT-NRK,PRIVATE,"INHUMAS, GOIÁS",0,2019,5,MAIO
49,18-MAY-2019,CESSNA T210N TURBO CENTURION II,PR-DVR,PRIVATE,"BELÉM, PARÁ",1,2019,5,MAIO
50,16-MAY-2019,EMBRAER (NEIVA) EMB-810D SENECA III,PT-VIZ,ALL LOG TECNOLOGIA E CONSULTORIA EM LOGISTICA LTDA,"FARM IN QUERÊNCIA, MATO GROSSO",0,2019,5,MAIO
51,15-MAY-2019,BEECHCRAFT F33A BONANZA,PR-BHF,PRIVATE,"NEAR SANTA MARIA AIRPORT (SSKG), CAMPO GRANDE, MATO GROSSO DO SUL",2,2019,5,MAIO
52,14-MAY-2019,CESSNA 170A,PT-ALF,PRIVATE,"FORTE VELHO, SANTA RITA, PARAÍBA",0,2019,5,MAIO
53,08-MAY-2019,PIPER PA-28-161 WARRIOR II,PR-NPA,AEROCLUBE DE GOIÁS,"TIRADENTES, MINAS GERAIS",0,2019,5,MAIO
54,06-MAY-2019,HELIBRAS AS 350B2 ESQUILO,PT-YTJ,CIA INICIADORA PREDIAL,"NOVO ARIPUANÃ, AMAZONAS",4,2019,5,MAIO
55,03-MAY-2019,EMBRAER (NEIVA) EMB-711ST CORISCO II TURBO,PT-RZN,PRIVATE,"NEAR VILA RICA AIRPORT (VLP/SWVC), VILA RICA, MATO GROSSO",0,2019,5,MAIO
56,03-MAY-2019,RANS S-6ES COYOTE II,PU-PRI,PRIVATE,"CONCÓRDIA, SANTA CATARINA",1,2019,5,MAIO
57,01-MAY-2019,VAN'S RV-9A,PU-APK,PRIVATE,"VISCONDE DO RIO BRANCO, MINAS GERAIS",2,2019,5,MAIO
58,28-APR-2019,ULTRALEVE PARADISE P1,PU-PPY,PRIVATE,"GUARANTÃ DO NORTE, MATO GROSSO",2,2019,4,ABRIL
59,24-APR-2019,HELIBRAS (EUROCOPTER) HB 350B3 ESQUILO,PP-MMG,GOVERNO DO ESTADO DE MINAS GERAIS - POLICIA MILITAR,"FAZENDA DAS LAJE, RIBEIRÃO DAS NEVES, MINAS GERAIS",0,2019,4,ABRIL
60,13-APR-2019,SOCATA ST-10 DIPLOMATE,PT-DME,PRIVATE,"BELO HORIZONTE, MINAS GERAIS",1,2019,4,ABRIL
61,12-APR-2019,CESSNA 210L CENTURION,PR-RAW,PRIVATE,"MONTE ALEGRE, PARÁ",2,2019,4,ABRIL
62,05-APR-2019,AMX A-1B,FAB-5660,FORÇA AÉREA BRASILEIRA,"VIAMÃO, RIO GRANDE DO SUL",0,2019,4,ABRIL
63,02-APR-2019,EMBRAER EMB-121A1 XINGU II,PT-FEG,SOLUTION AIR LOCADORA DE AERONAVES - EIRELI,"CAMPINAS, SP",0,2019,4,ABRIL
64,2019-03-30 00:00:00,VAN'S RV-7,PT-ZVY,GUAJA INVESTIMENTOS E PARTICIPACOES EIRELI,"GUAPÉ, MINAS GERAIS",2,2019,3,MARCO
65,2019-03-30 00:00:00,AIRBUS A320-251N,PR-YRX,AZUL LINHAS AÉREAS BRASILEIRAS,"BELÉM/VAL-DE-CANS-JULIO CEZAR RIBEIRO INTERNATIONAL AIRPORT , PA (BEL/",0,2019,3,MARCO
66,2019-03-27 00:00:00,B&F TECHNIK FK 9 MK IVB,PU-FKE,ALPHA BRAVO ESCOLA DE AVIAÇÃO,"RODOVIDA PEDRO I KM 59, BOM JESUS DOS PERDÕES, SÃO PAULO",0,2019,3,MARCO
67,2019-03-26 00:00:00,AIRBUS A320-232,PR-MBA,LATAM BRASIL,"BELO HORIZONTE-TANCREDO NEVES INTERNATIONAL AIRPORT, MG (CNF/SBCF)",0,2019,3,MARCO
68,2019-03-23 00:00:00,MUDRY CAP 10B,PT-LOK,PRIVATE,"BENTO GONÇALVES, RIO GRANDE DO SUL",1,2019,3,MARCO
69,2019-03-18 00:00:00,PARADISE P1,PU-ENU,PRIVATE,"CAMPINA VERDE, MG",0,2019,3,MARCO
70,2019-03-11 00:00:00,CESSNA A188B AG TRUCK,PR-RVO,NITZ AVIAÇÃO AGRÍCOLA,"VALE DO RIO PARDO, RIO GRANDE DO SUL",1,2019,3,MARCO
71,2019-03-08 00:00:00,PA-25-235 PAWNEE C,PR-AAT,BANALVES AVIÃCAO AGRÍCOLA LTDA,"LUIZ ALVES, SANTA CATRINA",0,2019,3,MARCO
72,2019-03-07 00:00:00,AIRBUS A320-214,PR-MYX,LATAM AIRLINES BRASIL,"BRASÍLIA-JUSCELINO KUBITSCHEK INTERNATIONAL AIRPORT, DF (BSB/SBBR)",0,2019,3,MARCO
73,2019-03-03 00:00:00,AIRBUS A320-214 (WL),PR-OCW,AVIANCA BRASIL,"RIO DE JANEIRO/GALEÃO-ANTONIO CARLOS JOBIM INTERNATIONAL AIRPORT, RJ",0,2019,3,MARCO
74,2019-03-02 00:00:00,ATR 72-600 (72-212A),PR-AQV,AZUL LINHAS AÉREAS BRASILEIRAS,"RIBEIRÃO PRETO-LEITE LOPES AIRPORT, SP (RAO/SBRP)",0,2019,3,MARCO
75,23-FEB-2019,CESSNA T182T TURBO SKYLANE,PR-ENM,PRIVATE,"GARIMPO NOVA ESPERANÇA, JACAREACANGA,PARÁ",2,2019,2,FEVEREIRO
76,23-FEB-2019,EMBRAER EMB-202A IPANEMA,PT-VUU,,"SÃO DESIDÉRIO, BAHIA",1,2019,2,FEVEREIRO
77,23-FEB-2019,PIPER PA-31-325 NAVAJO C/R,PR-RCS,PRIVATE,"14 BIS AIRPORT (SSOK), LONDRINA, PARANÁ",0,2019,2,FEVEREIRO
78,15-FEB-2019,BOEING 737-48E(SF),PR-AJZ,AZUL CARGO,"SÃO PAULO/CAMPINAS-VIRACOPOS INTERNATIONAL AIRPORT, SP (VCP/SBKP)",0,2019,2,FEVEREIRO
79,13-FEB-2019,CESSNA 210L CENTURION II,PT-JIC,PRIVATE,BELÉM,1,2019,2,FEVEREIRO
80,11-FEB-2019,BELL 206B JETRANGER II,PT-HPG,RQ HELICÓPTEROS – SERVIÇOS AÉREOS ESPECIALIZADOS,"RODOVIA ANHANGUERA, SÃO PAULO, SÃO PAULO",2,2019,2,FEVEREIRO
81,06-FEB-2019,GLOBE SWIFT GC-1A,PT-AIG,PRIVATE,"DOM PEDRITO, RIO GRANDE DO SUL",2,2019,2,FEVEREIRO
82,06-FEB-2019,EMBRAER EMB-202 IPANEMA,PT-UNS,AERO AGRICOLA BUTUI,"MAÇAMBARÁ, RS",0,2019,2,FEVEREIRO
83,2019-01-30 00:00:00,CIRRUS SR22,PP-DVG,PRIVATE,"AEROPORTO CAMPO DE MARTE (SBMT), SAN PAULO",0,2019,1,JANEIRO
84,2019-01-30 00:00:00,PIPER PA-34-220T SENECA V,PP-AAS,PRIVATE,"AEROPORTO CAMPO DE MARTE (SBMT), SAN PAULO",0,2019,1,JANEIRO
85,2019-01-29 00:00:00,PIPER PA-34-220T SENECA III,PP-ART,AMERICAN WOOD TRADE EXP. LTDA.,"PERUÍBE, SÃO PAULO",0,2019,1,JANEIRO
86,2019-01-27 00:00:00,CESSNA 210,,PRIVATE,"TABOCAL, PARÁ",0,2019,1,JANEIRO
87,2019-01-25 00:00:00,EMBRAER EMB-202 IPANEMA,PT-UPW,PULVERIZA AVIAÇÃO AGRICOLA,"GUAÍRA, SP",0,2019,1,JANEIRO
88,2019-01-22 00:00:00,EMBRAER EMB-201 IPANEMA,PT-GNJ,PRIVATE,"SÍTIO NOVO, MARANHÃO",0,2019,1,JANEIRO
89,2019-01-19 00:00:00,ULTRALEGER MISTRAL 582C,PU-ABD,PRIVATE,"PARELHAS, RIO GRANDE DO NORTE",0,2019,1,JANEIRO
90,2019-01-15 00:00:00,BOEING 737-8EH (WL),PR-GXQ,GOL LINHAS AÉREAS,"NEAR RIO DE JANEIRO-SANTOS DUMONT AIRPORT, RJ (SDU/SBRJ)",0,2019,1,JANEIRO
91,2019-01-14 00:00:00,HELIBRAS HB-350BA ESQUILO,PP-ECF,POLÍCIA MILITAR DO ESTADO DO RIO DE JANEIRO,"BAIA DA GUANABARA, RIO DE JANEIRO",1,2019,1,JANEIRO
92,2019-01-12 00:00:00,RUPERT R-12 VIMANA,PU-BIA,PRIVATE,"PRAIA DA BARRA VELHA, ÁGUAS BELAS, CASCAVEL - CEARÁ",2,2019,1,JANEIRO
93,2019-01-12 00:00:00,PIPER PA-25-235 PAWNEE,PR-MJA,AERODINÂMICA AVIAÇÃO AGRÍCOLA,"RIO PASSO FUNDO, CAMPINAS DO SUL, RIO GRANDE DO SUL",1,2019,1,JANEIRO
94,2019-01-06 00:00:00,BOEING 777-3M2ER,D2-TEH,TAAG ANGOLA AIRLINES,SAO PAULO-GUARULHOS AIRPORT (GRU/SBGR),0,2019,1,JANEIRO
95,2019-01-04 00:00:00,BEECHCRAFT F33A BONANZA,PT-OEB,PRIVATE,"FRONTEIRA, MINAS GERAIS",0,2019,1,JANEIRO
96,2019-01-01 00:00:00,ROBINSON R44 RAVEN II,PR-RMZ,HELICON TÁXI AÉREO,"UBATUBA, SÂO PAULO",1,2019,1,JANEIRO
97,31-DEC-2018,ROBINSON R44 RAVEN I,PR-MPS,PRIVATE,"LAGO DE CORUMBÁ, CALDAS NOVAS",0,2018,12,DEZEMBRO
98,29-DEC-2018,TRIKE ÍCAROS ADVENTURE,PU-DVD,PRIVATE,"ARACAJU, SERGIPE",1,2018,12,DEZEMBRO
99,22-DEC-2018,ATR 72-600 (72-212A),PR-AQZ,AZUL LINHAS AÉREAS BRASILEIRAS,OVER ALAGOAS STATE,0,2018,12,DEZEMBRO
100,20-DEC-2018,BOEING 777-32WER,PT-MUG,LATAM AIRLINES BRASIL,BELO HORIZONTE / CONFIS – AEROPORTO INTERNACIONAL TANCREDO NEVES,0,2018,12,DEZEMBRO
101,17-DEC-2018,BEECHCRAFT 95-B55 BARON,PT-KIL,PRIVATE,"TABATINGA, AMAZONAS",0,2018,12,DEZEMBRO
102,11-DEC-2018,EMBRAER IPANEMA EMB-202A,PT-UUE,PRODUZIR AGROPECUÁRIA LTDA.,"SÃO GABRIEL DO OESTE, MATO GROSSO DO SUL",0,2018,12,DEZEMBRO
103,10-DEC-2018,BEECHCRAFT C90GT KING AIR,PR-SDA,COOXUPÉ - COOPERATIVA REGIONAL DE CAFEICULTORES EM GUA,"GUAXUPÉ AIRPORT, MINAS GERAIS (SNGX)",0,2018,12,DEZEMBRO
104,10-DEC-2018,BOEING 777-328ER,F-GSQM,AIR FRANCE,"C. 290 KM NE OF SÃO PAULO, SP",0,2018,12,DEZEMBRO
105,09-DEC-2018,CESSNA 172,PR-SFJ,,"CHAPADÃO DO SUL, MATO GROSSO DO SUL",1,2018,12,DEZEMBRO
106,02-DEC-2018,EMBRAER EMB-720C MINUANO,PT-RDZ,PRIVATE,MISSING,8,2018,12,DEZEMBRO
107,2018-11-30 00:00:00,CESSNA 210N CENTURION II,PR-JEE,PRIVATE,"SÃO PAULO, SP",2,2018,11,NOVEMBRO
108,2018-11-30 00:00:00,CESSNA 182P SKYLANE,PT-ICN,PRIVATE,"SERRA DO MANGAVAL, CÁCERES, MATO GROSSO",0,2018,11,NOVEMBRO
109,2018-11-29 00:00:00,VAN'S RV-10,PP-ZDS,PRIVATE,"PARQUE ESTADUAL DAS VÁRZEAS DO RIO IVINHEMA, NAVIRAÍ, MS",1,2018,11,NOVEMBRO
110,2018-11-28 00:00:00,BOEING 737-2Y5 ADV.,YV2937,AVIOR AIRLINES,"MANAUS-EDUARDO GOMES INTERNATIONAL AIRPORT, AM (MAO/SBEG)",0,2018,11,NOVEMBRO
111, 26-NOV-2018,CESSNA 525 CITATION M2,PP-OEG,ARGA.,"NEAR JEQUITAÍ-FAZENDA FORTALEZA DE SANTA TEREZINHA AIRPORT, MG",4,2018,11,NOVEMBRO
112,2018-11-24 00:00:00,AGUSTA AW109SP GRAND NEW,PT-FPS,CRISTÁLIA PROD. QUÍM. FARMACÊUTICOS LTDA,"PICO DO ITAPEVA, CAMPOS DO JORDÃO, SÃO PAULO",6,2018,11,NOVEMBRO
113,2018-11-12 00:00:00,BOEING 737-8EH (WL),PR-GGU,GOL LINHAS AÉREAS,CUIABÁ MARECHAL RONDON INTERNATIONAL AIRPORT (CGB/SBCY),0,2018,11,NOVEMBRO
114,2018-11-11 00:00:00,EAY-201 YPIRANGA (P-56 PAULISTINHA),PP-ZWA,UNKNOWN (ILLEGAL FLIGHT),"QUERÊNCIA, MATO GROSSO",2,2018,11,NOVEMBRO
115,2018-11-07 00:00:00,EMBRAER ERJ-195AR,PR-AUM,AZUL,"MARABÁ AIRPORT, PA (MAB/SBMA)",0,2018,11,NOVEMBRO
116,2018-11-04 00:00:00,VAN'S RV-10,PR-ZMZ,PRIVATE,"PATOS DE MINAS, MINAS GERAIS",5,2018,11,NOVEMBRO
117,2018-11-04 00:00:00,EMBRAER EMB-201A IPANEMA,PT-GSH,PRIVATE,"PEIXOTO DE AZEVEDO, MATO GROSSO",0,2018,11,NOVEMBRO
118,2018-11-03 00:00:00,AGUSTA A109E POWER,PP-MTX,FILIPINAS EMPREENDIMENTOS IMOBILIÁRIOS S.A.,"MOGI DAS CRUZES, SÃO PAULO",5,2018,11,NOVEMBRO
119,18-OCT-2018,AIRBUS A330-223,LV-FNK,AEROLINEAS ARGENTINAS,"OVER AMAZONIA, AMAZONAS",0,2018,10,OUTUBRO
120,11-OCT-2018,PARADISE P1,PU-OLC,,"POVOADO DE BREJINHOS, BELMONTE, BAHIA",0,2018,10,OUTUBRO
121,29-SEP-2018,AERO BRAVO 700,PU-WCW,ULTRALIGHT,"RURAL ZONE OF GUARABIRA, PARAIBA",0,2018,9,SETEMBRO
122, 28-SEP-2018,AIRBUS A320-232,PT-MZJ,LATAM AIRLINES BRASIL,"SÃO PAULO-CONGONHAS AIRPORT, SP (CGH)",0,2018,9,SETEMBRO
123, 24-SEP-2018,HONDA HA-420 HONDAJET,PR-TLZ,ALTA,"FOZ DO IGUAÇU/CATARATAS AIRPORT, PR (IGU)",0,2018,9,SETEMBRO
124,22-SEP-2018,INPAER CONQUEST 180,PU-BPO,ASA ESPORTE LTDA,"AEROPORTO DE ATIBAIA, SÃO PAULO (SDTB)",0,2018,9,SETEMBRO
125,21-SEP-2018,TRIKE,,PRIVATE,"LINHARES, ESPIRITO SANTO",2,2018,9,SETEMBRO
126,15-SEP-2018,BEECHCRAFT C90A KING AIR,PR-RFB,GAMBATTO VEÍCULOS LTDA,"IPUMIRIM, SANTA CATARINA",1,2018,9,SETEMBRO
127,10-SEP-2018,MITSUBISHI MU-2B-60,PT-LJS,PRIVATE,"AERÓDROMO DE ARAÇATUBA (SBAU), SÃO PAULO",0,2018,9,SETEMBRO
128,03-SEP-2018,AIRBUS A340-313,EC-MFA,PLUS ULTRA,"OVER RORAIMA STATE, BRAZIL",0,2018,9,SETEMBRO
129,01-SEP-2018,BEECHCRAFT F33A BONANZA,PT-OCB,PRIVATE,"TAQUARAÇÚ DE MINAS, MINAS GERAIS",1,2018,9,SETEMBRO
130,28-AUG-2018,EMBRAER EMB-201 IPANEMA,PT-GOU,AERO AGRÍCOLA SANTOS DUMONT,"RINCÃO DO GUAJUVIRAS, RIO GRANDE DO SUL",1,2018,8,AGOSTO
131,25-AUG-2018,PIPER PA-34-220T SENECA II,PR-VCV,PRIVATE,"FAZENDA BREJINHO, BARRETOS, SÃO PAULO",0,2018,8,AGOSTO
132,24-AUG-2018,CESSNA 150M,PT-WGV,AEROCLUBE DE SÃO JOSÉ DOS CAMPOS,"FARM IN CUNHA, SÃO PAULO",0,2018,8,AGOSTO
133,11-AUG-2018,STARFLIGHT FOX VECTOR V6,PU-EFG,PRIVATE,"SANTA GENOVEVA, GOIANIA, GOIAS",2,2018,8,AGOSTO
134,10-AUG-2018,HELIBRÁS AS-350B2 ESQUILO,PP-MES,POLÍCIA MILITAR DO ESTADO DO ESPIRITO SANTO,"DOMINGO MARTINS, ESPÍRITO SANTO",0,2018,8,AGOSTO
135,01-AUG-2018,EMBRAER (NEIVA) EMB-711ST CORISCO II TURBO,PT-RKA,PRIVATE,PLANALTINA DE GOIÁS,0,2018,8,AGOSTO
136,2018-07-29 00:00:00,BEECHCRAFT C90GTI KING AIR,PP-SZN,VIDEPLAST,"CAMPO DE MARTE AIRPORT (SAO), SÃO PAULO, SÃO PAULO",1,2018,7,JULHO
137,2018-07-27 00:00:00,INPAER CONQUEST 180,PU-OGL,PRIVATE,"SEA OF ITAPEMA, SANTA CATARINA",1,2018,7,JULHO
138,2018-07-27 00:00:00,CESSNA 210L CENTURION,PP-MMR,PRIVATE,"BARRA MANSA, SÃO FÉLIX DO XINGU, PARÁ",4,2018,7,JULHO
139,2018-07-22 00:00:00,PIPER PA-34-220T SENECA V,PR-DMC,SIDERQUIMICA IND. E COM. DE PRODUTOS QUIMICOS,"PAULA FREITAS, PARANÁ",3,2018,7,JULHO
140,2018-07-21 00:00:00,TECNAM P2004 BRAVO,PU-MHV,PRIVATE,"CLUBE ESPORTIVO DE VÔO, SANTA CRUZ, RIO DE JANEIRO",2,2018,7,JULHO
141,2018-07-20 00:00:00,VAN'S RV-10,PT-ZMI,PRIVATE,"POVOADO FLORATA, TIMON, MARANHÃO",0,2018,7,JULHO
142,2018-07-14 00:00:00,CHRISTEN EAGLE II,PR-ZTE,LEONARDO TRAUGOTT BINDER DA SILVA,"NEAR BOM DESPACHO AIRPORT (SNGQ), MG",2,2018,7,JULHO
143,2018-07-12 00:00:00,CESSNA 152,PR-EJK,EJ - ESCOLA DE AVIAÇÃO CIVIL,"ITÁPOLIS AIRPORT, ITÁPOLIS-SÃO PAULO (SDIO)",0,2018,7,JULHO
144,2018-07-12 00:00:00,CESSNA 150M,PR-JEA,AEROCLUBE DE ITÁPOLIS,"ITÁPOLIS AIRPORT, ITÁPOLIS-SÃO PAULO (SDIO)",0,2018,7,JULHO
145,2018-06-27 00:00:00,PIPER PA-31,PT-IIU,UNKNOWN (ILLEGAL FLIGHT),"RIO JAMANXIM, EM CREPURIZÃO , DISTRITO DE ITAITUBA",2,2018,6,JUNHO
146,2018-06-25 00:00:00,,,,"CREPURIZÃO , DISTRITO DE ITAITUBA",1,2018,6,JUNHO
147,2018-06-23 00:00:00,CESSNA 172B,PT-BNT,PRIVATE,"PRAIA DO MUCURIPE, FORTALEZA, CEARÁ",0,2018,6,JUNHO
148,2018-06-23 00:00:00,INPAER CONQUEST 180,PU-MGH,PRIVATE,"PARAUAPEBAS, PARÁ",0,2018,6,JUNHO
149,2018-06-20 00:00:00,EMBRAER EMB-810 SENECA,PT-EUD,AEROCLUBE DE POCOS DE CALDAS,"DENISE , MATO GROSSO",1,2018,6,JUNHO
150,2018-06-16 00:00:00,AGUSTAWESTLAND AW109S,PR-JMB,BAUMINAS LOGÍSTICA E TRANSPORTES LTDA,"ESPIRITO SANTO DO DOURADO, MINAS GERAIS",2,2018,6,JUNHO
151,2018-06-09 00:00:00,CESSNA 182P,PT-IDV,,"TANGARÁ DA SERRA AND SALTO DO CÉU, MATO GROSSO",0,2018,6,JUNHO
152,2018-06-01 00:00:00,FLYER PELICAN 500BR,PU-ZMZ,PRIVATE,"TATUÍ, SAO PAULO",0,2018,6,JUNHO
153,24-MAY-2018,NORTHROP F-5FM TIGER II,,FORÇA AÉREA BRASILEIRA (FAB),"NEAR BA SANTA CRUZ, RJ",0,2018,5,MAIO
