index,data_ocorrencia,modelo,registro,operador,local_acidente,numero_de_vitimas,ano,mes,mes_nome
1177,2006-11-06 00:00:00,EMBRAER AT-26 XAVANTE (MB.326GC),,FORÇA AÉREA BRASILEIRA (FAB),"BA ANÁPOLIS, GO",0,2006,11,NOVEMBRO
1178,13-OCT-2006,PIPER PA-34-200,PT-ISF,ALDUINO COUTINHO DE SOUZA,"IN SEA, 35 KM N OF VICTORIA",6,2006,10,OUTUBRO
1179, 29-SEP-2006,BOEING 737-8EH,PR-GTD,GOL,"30 KM FROM PEIXOTO AZEVEDO, MT",154,2006,9,SETEMBRO
1180, 29-SEP-2006,EMBRAER EMB-135BJ LEGACY 600,N600XL,EXCELAIRE,"NOVO PROGRESSO-CACHIMBO AIR BASE, PA (SBCC)",154,2006,9,SETEMBRO
1181, 08-AUG-2006,FOKKER 100,PT-MQN,TAM BRASIL,SÃO PAULO,0,2006,8,AGOSTO
1182,2006-07-27 00:00:00,HELIBRÁS HM-1 PANTERA (SA 365N),EB-2026,BRAZILIAN ARMY AVIATION,"JACAREI DAM, SP",0,2006,7,JULHO
1183, 31-MAR-2006,LET L-410UVP-E20,PT-FSE,TEAM,"6 KM SE OF RIO BONITO, RJ",19,2006,3,MARCO
1184,2006-03-22 00:00:00,BOEING 737-46B,PR-BRC,BRA TRANSPORTES AÉREOS,"SÃO PAULO-CONGONHAS AIRPORT, SP",0,2006,3,MARCO
1185,28-FEB-2006,CESSNA 170,PT-BVF,PRIVATE,"COPACABANA BEACH, RIO DE JANEIRO",0,2006,2,FEVEREIRO
1186,2006-01-02 00:00:00,PIPER PA-34-220 SENECA,PT-WRT,PRIVATE,SERRA DA CANTAREIRA,2,2006,1,JANEIRO
1187,15-DEC-2005,BELL 412SP,PT-HUV,AERÓLEO TÁXI AÉREO,"NEAR MACAÉ, RJ",0,2005,12,DEZEMBRO
1188,2005-11-23 00:00:00,BELL UH-1H,,FORÇA AÉREA BRASILEIRA (FAB),,0,2005,11,NOVEMBRO
1189,12-OCT-2005,AEROSPATIALE AS.350B-2 ECUREIL,PP-EPN,POLICIA MILITAR DO ESTADO DO RIO DE JANEIRO (PMERJ),"ACADEMY OF MILITARY POLICE, RIO DE JANEIRO",0,2005,10,OUTUBRO
1190, 09-OCT-2005,CESSNA 208 CARAVAN I,PR-RTA,RICO,"RIO NEGRO, AM",0,2005,10,OUTUBRO
1191, 16-SEP-2005,CESSNA 525 CITATIONJET,PT-WLX,VIAÇÃO COMETA,"ALTO DA BOA VISTA, RJ",2,2005,9,SETEMBRO
1192,2005-06-27 00:00:00,BELL 206B-3 JETRANGER III (IH-6B),N-5040,AVIAÇÃO NAVAL BRASILEIRA,"RIO DE JANEIRO, RJ",2,2005,6,JUNHO
1193,02-APR-2005,EMBRAER T-27 TUCANO,,FORÇA AÉREA BRASILEIRA (FAB),"PIRASSUNUNGA,SP",0,2005,4,ABRIL
1194, 29-MAR-2005,CESSNA 208B GRAND CARAVAN,PT-MPA,PENTA,"ITAITUBA-FAZENDA VERA PAZ AIRPORT, PA",0,2005,3,MARCO
1195,2005-01-12 00:00:00,SIKORSKY S-76A,PP-MCS,BHS TÁXI AÉREO,"MACAÉ AIRPORT, RJ",0,2005,1,JANEIRO
1196, 11-DEC-2004,EMBRAER EMB-110 BANDEIRANTE,PT-WAK,NHR TÁXI-AÉREO,"0,8 KM FROM UBERABA AIRPORT, MG (UBA)",3,2004,12,DEZEMBRO
1197, 23-OCT-2004,BOEING 707-330C,PP-BSE,BETA,"MANAUS-EDUARDO GOMES INTERNATIONAL AIRPORT, AM (MAO)",0,2004,10,OUTUBRO
1198,24-SEP-2004,AEROSPATIALE AS350B2,PP-EDS,SECRETARY SOCIAL DEFENSE OF PERNAMBUCO,"ARCO, SÃO FRANCISCO RIVER, STATE OF PERNAMBUCO",0,2004,9,SETEMBRO
1199,30-AUG-2004,AGUSTA A119 KOALA,PR-HVR,PRIVATE,"OSASCO, SP",0,2004,8,AGOSTO
1200,20-AUG-2004,NEIVA T-25C UNIVERSAL,,FORCA AÉREA BRASILEIRA (FAB),,0,2004,8,AGOSTO
1201,20-AUG-2004,EUROCOPTER EC 120B COLIBRI,PR-HBR,HELIBARRA TÁXI AÉREO,"CABO FRIO, RJ",0,2004,8,AGOSTO
1202,08-AUG-2004,CESSNA 140,PP-DBT,,"PARA DE MINAS, MG (SNPD)",0,2004,8,AGOSTO
1203,04-AUG-2004,AÉROSPATIALE AS 350B2,PR-HFB,BRAZILIAN FEDERAL POLICE,"FAZENDER UIVAER, NEAR CORONEL SAPUCAIA, MATO GROSSO DO SUL",1,2004,8,AGOSTO
1204,2004-07-22 00:00:00,SIKORSKY S-76A,PP-MYM,BHS TÁXI AÉREO,"160 KM NE OFF RIO DE JANEIRO, RJ",6,2004,7,JULHO
1205,2004-07-15 00:00:00,HELIBRÁS HM-1 PANTERA (SA 365N),EB-2002,BRAZILIAN ARMY AVIATION,"NEAR AUGUSTO PESTANA, RS",6,2004,7,JULHO
1206,24-MAY-2004,HELIBRÁS HM-1 PANTERA (SA 365N),EB-2015,BRAZILIAN ARMY AVIATION,"175 KM W OF RIO DE JANEIRO, RJ",3,2004,5,MAIO
1207, 14-MAY-2004,EMBRAER EMB-120ER BRASILIA,PT-WRO,RICO LINHAS AÉREAS,"33 KM FROM MANAUS, AM",33,2004,5,MAIO
1208,20-APR-2004,SIKORSKY S-76A,PT-YBG,LÍDER TÁXI AÉREO,"MACAÉ, RJ",0,2004,4,ABRIL
1209,13-FEB-2004,EMBRAER T-27 TUCANO,,FORÇA AÉREA BRASILEIRA (FAB),"10 KM FROM SANTA RITA DO PASSA QUATRO, SP",0,2004,2,FEVEREIRO
1210,13-FEB-2004,EMBRAER T-27 TUCANO,,FORÇA AÉREA BRASILEIRA (FAB),"10 KM FROM SANTA RITA DO PASSA QUATRO, SP",0,2004,2,FEVEREIRO
1211, 20-DEC-2003,BOEING 737-76N,PR-GOO,GOL,"NAVEGANTES AIRPORT, SC (NVT)",0,2003,12,DEZEMBRO
